seed,auc,prc-auc,accuracy
seed0,0.8227607709750566,0.36861787293033,0.9401820546163849
seed1,0.7518831466561865,0.1963095874854138,0.9375812743823146
seed2,0.7998150716597318,0.31755938225176317,0.9401820546163849
seed3,0.7604089807104458,0.3732267352531662,0.9349804941482445
seed4,0.8282632002144197,0.4354325539775809,0.953185955786736
seed5,0.7876791493296347,0.32658186493691926,0.9401820546163849
seed6,0.7491976157725814,0.25668305035141303,0.9375812743823146
seed7,0.796383866481224,0.38080651369265694,0.94148244473342
seed8,0.7690094219505984,0.3142227829912767,0.9271781534460338
seed9,0.8298126678456802,0.3329372465604184,0.9479843953185956
